2023-05-12 17:45:14 INFO: info message
2023-05-12 17:45:15 WARNING: warning message
2023-05-12 17:45:15 ERROR: error message
2023-05-12 17:45:21 CRITICAL: critial message
2023-05-24 14:31:41 INFO: Successfully added device
2023-05-24 14:31:41 INFO: Successfully added device
2023-05-24 14:31:50 INFO: Successfully added device
2023-05-24 14:31:50 INFO: Successfully added device
2023-05-24 19:19:39 INFO: Successfully initialized device_status_table.
2023-05-24 19:20:11 INFO: Successfully initialized device_status_table.
2023-05-24 19:20:49 INFO: Successfully initialized device_status_table.
2023-05-24 19:23:29 INFO: Successfully initialized device_status_table.
2023-05-24 19:31:31 INFO: Successfully initialized device_status_table.
2023-05-24 19:31:50 INFO: Successfully initialized device_status_table.
2023-05-24 19:32:14 INFO: Successfully initialized device_status_table.
2023-05-24 19:34:00 INFO: Successfully initialized device_status_table.
2023-05-24 19:34:23 INFO: Successfully initialized device_status_table.
2023-05-24 19:35:19 INFO: Successfully initialized device_status_table.
2023-05-24 19:37:55 INFO: Successfully initialized device_status_table.
2023-05-24 19:38:29 INFO: Successfully initialized device_status_table.
2023-05-24 20:00:08 INFO: Successfully initialized device_status_table.
2023-05-24 20:00:34 INFO: Successfully initialized device_status_table.
2023-05-24 20:01:11 INFO: Successfully initialized device_status_table.
2023-05-24 20:01:45 INFO: Successfully initialized device_status_table.
2023-05-24 20:02:32 INFO: Successfully initialized device_status_table.
2023-05-24 20:03:28 INFO: Successfully initialized device_status_table.
2023-05-24 20:05:41 INFO: Successfully initialized device_status_table.
2023-05-24 20:07:48 INFO: Successfully initialized device_status_table.
2023-05-24 20:08:17 INFO: Successfully initialized device_status_table.
2023-05-24 20:08:31 INFO: Successfully initialized device_status_table.
2023-05-24 20:10:17 INFO: Successfully initialized device_status_table.
2023-05-24 20:14:17 INFO: Successfully initialized device_status_table.
2023-05-24 20:14:58 INFO: Successfully initialized device_status_table.
2023-05-24 20:15:07 INFO: Successfully initialized device_status_table.
2023-05-24 20:15:44 INFO: Successfully initialized device_status_table.
2023-05-24 20:16:01 INFO: Successfully initialized device_status_table.
2023-05-24 20:37:09 INFO: Successfully initialized device_status_table.
2023-05-24 20:37:50 INFO: Successfully initialized device_status_table.
2023-05-24 20:38:08 INFO: Successfully initialized device_status_table.
2023-05-24 20:39:46 INFO: Successfully initialized device_status_table.
2023-05-24 20:39:59 INFO: Successfully initialized device_status_table.
2023-05-24 20:41:07 INFO: Successfully initialized device_status_table.
2023-05-24 20:41:20 INFO: Successfully initialized device_status_table.
2023-05-24 20:51:47 INFO: Successfully initialized device_status_table.
2023-05-24 20:52:48 INFO: Successfully initialized device_status_table.
2023-05-24 21:14:07 INFO: Successfully initialized device_status_table.
2023-05-24 21:14:54 INFO: Successfully initialized device_status_table.
2023-05-24 21:15:00 INFO: Successfully initialized device_status_table.
2023-05-24 21:16:26 INFO: Successfully initialized device_status_table.
2023-05-24 21:19:45 INFO: Successfully initialized device_status_table.
2023-05-24 22:15:01 INFO: Successfully initialized device_status_table.
2023-05-24 22:15:45 INFO: Successfully initialized device_status_table.
2023-05-24 22:15:48 INFO: Successfully initialized device_status_table.
2023-05-24 22:17:30 INFO: Successfully initialized device_status_table.
2023-05-24 23:14:22 INFO: Successfully initialized device_status_table.
2023-05-25 00:33:25 INFO: Successfully initialized device_status_table.
2023-05-25 00:39:14 INFO: Successfully initialized device_status_table.
2023-05-25 00:41:09 INFO: Successfully initialized device_status_table.
2023-05-25 00:49:38 INFO: Successfully initialized device_status_table.
2023-05-25 00:50:40 INFO: Successfully initialized device_status_table.
2023-05-25 00:51:58 INFO: Successfully initialized device_status_table.
2023-05-25 00:53:34 INFO: Successfully initialized device_status_table.
2023-05-25 00:55:08 INFO: Successfully initialized device_status_table.
2023-05-25 00:55:24 INFO: Successfully initialized device_status_table.
2023-05-25 00:56:09 INFO: Successfully initialized device_status_table.
2023-05-25 00:56:24 INFO: Successfully initialized device_status_table.
2023-05-25 00:56:43 INFO: Successfully initialized device_status_table.
2023-05-25 01:10:00 INFO: Successfully initialized device_status_table.
2023-05-25 01:10:51 INFO: Successfully initialized device_status_table.
2023-05-25 01:11:05 INFO: Successfully initialized device_status_table.
2023-05-25 01:12:44 INFO: Successfully initialized device_status_table.
2023-05-25 01:14:09 INFO: Successfully initialized device_status_table.
2023-05-25 01:15:52 INFO: Successfully initialized device_status_table.
2023-05-25 01:16:41 INFO: Successfully initialized device_status_table.
2023-05-25 01:19:52 INFO: Successfully initialized device_status_table.
2023-05-25 01:23:43 INFO: Successfully initialized device_status_table.
2023-05-25 01:25:48 INFO: Successfully initialized device_status_table.
2023-05-25 01:26:52 INFO: Successfully initialized device_status_table.
2023-05-25 01:30:10 INFO: Successfully initialized device_status_table.
2023-05-25 01:30:54 INFO: Successfully initialized device_status_table.
2023-05-25 01:33:39 INFO: Successfully initialized device_status_table.
2023-05-25 01:34:41 INFO: Successfully initialized device_status_table.
